単語,よみ,品詞（Windows）,品詞（macOS）
証明,しょうめい,さ変名詞,サ変名詞
群,ぐん,名詞,普通名詞
可換,かかん,名詞,普通名詞
可換群,かかんぐん,名詞,普通名詞
アーベル群,あーべるぐん,名詞,普通名詞
加法群,かほうぐん,名詞,普通名詞
加群,かぐん,名詞,普通名詞
非可換群,ひかかんぐん,名詞,普通名詞
位数,いすう,名詞,普通名詞
有限群,ゆうげんぐん,名詞,普通名詞
無限群,むげんぐん,名詞,普通名詞
加法,かほう,名詞,普通名詞
乗法,じょうほう,名詞,普通名詞
置換群,ちかんぐん,名詞,普通名詞
環,かん,名詞,普通名詞
可換環,かかんかん,名詞,普通名詞
逆元,ぎゃくげん,名詞,普通名詞
可逆元,かぎゃくげん,名詞,普通名詞
単元,たんげん,名詞,普通名詞
乗法群,じょうほうぐん,名詞,普通名詞
可除環,かじょかん,名詞,普通名詞
体,たい,名詞,普通名詞
斜体,しゃたい,名詞,普通名詞
開区間,かいくかん,名詞,普通名詞
閉区間,へいくかん,名詞,普通名詞
直和,ちょくわ,名詞,普通名詞
ド・モルガン,どもるがん,人名,人名
ド・モルガンの法則,どもるがんのほうそく,名詞,普通名詞
補集合,ほしゅうごう,名詞,普通名詞
順序対,じゅんじょつい,名詞,普通名詞
直積,ちょくせき,名詞,普通名詞
始域,しいき,名詞,普通名詞
終域,しゅういき,名詞,普通名詞
値域,ちいき,名詞,普通名詞
二項関係,にこうかんけい,名詞,普通名詞
反射律,はんしゃりつ,名詞,普通名詞
対称律,たいしょうりつ,名詞,普通名詞
推移律,すいいりつ,名詞,普通名詞
反対称律,はんたいしょうりつ,名詞,普通名詞
同値,どうち,名詞,普通名詞
同値関係,どうちかんけい,名詞,普通名詞
順序関係,じゅんじょかんけい,名詞,普通名詞
半順序集合,はんじゅんじょしゅうごう,名詞,普通名詞
全順序集合,ぜんじゅんじょしゅうごう,名詞,普通名詞
包含関係,ほうがんかんけい,名詞,普通名詞
同値類,どうちるい,名詞,普通名詞
商集合,しょうしゅうごう,名詞,普通名詞
順序同型,じゅんじょどうけい,名詞,普通名詞
上界,じょうかい,名詞,普通名詞
上限,じょうげん,名詞,普通名詞
下界,かかい,名詞,普通名詞
下限,かげん,名詞,普通名詞
超限帰納法,ちょうげんきのうほう,名詞,普通名詞
開球体,かいきゅうたい,名詞,普通名詞
閉球体,へいきゅうたい,名詞,普通名詞
開集合,かいしゅうごう,名詞,普通名詞
閉集合,へいしゅうごう,名詞,普通名詞
非交和,ひこうわ,名詞,普通名詞
位相,いそう,名詞,普通名詞
一般位相,いっぱんいそう,名詞,普通名詞
同相,どうそう,名詞,普通名詞
同相写像,どうそうしゃぞう,名詞,普通名詞
位相同型,いそうどうけい,名詞,普通名詞
開基,かいき,名詞,普通名詞
準開基,じゅんかいき,名詞,普通名詞
可算公理,かさんこうり,名詞,普通名詞
分離公理,ぶんりこうり,名詞,普通名詞
ハウスドルフ,はうすどるふ,人名,人名
ハウスドルフ空間,はうすどるふくうかん,名詞,普通名詞
正則空間,せいそくくうかん,名詞,普通名詞
正規空間,せいきくうかん,名詞,普通名詞
被覆,ひふく,名詞,普通名詞
開被覆,かいひふく,名詞,普通名詞
有限被覆,ゆうげんひふく,名詞,普通名詞
部分被覆,ぶぶんひふく,名詞,普通名詞
局所連結,きょくしょれんけつ,名詞,普通名詞
弧状連結,こじょうれんけつ,名詞,普通名詞
完備,かんび,名詞,普通名詞
完備化,かんびか,さ変名詞,サ変名詞
単射,たんしゃ,名詞,普通名詞
全射,ぜんしゃ,名詞,普通名詞
全単射,ぜんたんしゃ,名詞,普通名詞
公理,こうり,名詞,普通名詞
元,げん,名詞,普通名詞
可算,かさん,名詞,普通名詞
簡約,かんやく,名詞,普通名詞
簡約化,かんやくか,さ変名詞,サ変名詞
転置,てんち,さ変名詞,サ変名詞
転置行列,てんちぎょうれつ,名詞,普通名詞
余因子,よいんし,名詞,普通名詞
余因子行列,よいんしぎょうれつ,名詞,普通名詞
余因子展開,よいんしてんかい,さ変名詞,サ変名詞
掃き出し法,はきだしほう,名詞,普通名詞
行基本変形,ぎょうきほんへんけい,名詞,普通名詞
列基本変形,れつきほんへんけい,名詞,普通名詞
基本変形,きほんへんけい,名詞,普通名詞
階数,かいすう,名詞,普通名詞
基底,きてい,名詞,普通名詞
標準基底,ひょうじゅんきてい,名詞,普通名詞
共役,きょうやく,名詞,普通名詞
複素共役,ふくそきょうやく,名詞,普通名詞
単調増加,たんちょうぞうか,さ変名詞,サ変名詞
単調減少,たんちょうげんしょう,さ変名詞,サ変名詞
広義単調増加,こうぎたんちょうぞうか,さ変名詞,サ変名詞
広義単調減少,こうぎたんちょうげんしょう,さ変名詞,サ変名詞
狭義単調増加,きょうぎたんちょうぞうか,さ変名詞,サ変名詞
狭義単調減少,きょうぎたんちょうげんしょう,さ変名詞,サ変名詞
無限級数,むげんきゅうすう,名詞,普通名詞
級数,きゅうすう,名詞,普通名詞
絶対収束,ぜったいしゅうそく,さ変名詞,サ変名詞
条件収束,じょうけんしゅうそく,さ変名詞,サ変名詞
交代級数,こうたいきゅうすう,名詞,普通名詞
